[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   0 ,  760 111 648] 时隙:13-------------------------------------------------------------------------------
[   0 ,  762 602 493] high freq  762500   305
[   0 ,  765  93 280] high freq  765000   306
[   0 ,  767 593 230] high freq  767500   307
[   0 ,  770  96 968] high freq  770000   308
[   0 ,  772 596 715] high freq  772500   309
[   0 ,  775  89   8] high freq  775000   310
[   0 ,  777 588 658] high freq  777500   311
[   0 ,  780  88 398] high freq  780000   312
[   0 ,  780 111 798] 时隙:14-------------------------------------------------------------------------------
[   0 ,  782 603 445] high freq  782500   313
[   0 ,  785  93 230] high freq  785000   314
[   0 ,  787 592 268] high freq  787500   315
[   0 ,  790  91 833] high freq  790000   316
[   0 ,  792 596 893] high freq  792500   317
[   0 ,  795  88 905] high freq  795000   318
[   0 ,  797 588 613] high freq  797500   319
[   0 ,  800  88 473] high freq  800000   320
[   0 ,  800 111 395] 时隙:15-------------------------------------------------------------------------------
[   0 ,  802 601 438] high freq  802500   321
[   0 ,  805  93 943] high freq  805000   322
[   0 ,  807 593 135] high freq  807500   323
[   0 ,  810  92 835] high freq  810000   324
[   0 ,  812 595 875] high freq  812500   325
[   0 ,  815  89 303] high freq  815000   326
[   0 ,  817 588 350] high freq  817500   327
[   0 ,  820  92  73] high freq  820000   328
[   0 ,  820 117   8] 时隙:16-------------------------------------------------------------------------------
[   0 ,  822 602  15] high freq  822500   329
[   0 ,  825  93 210] high freq  825000   330
[   0 ,  827 593 288] high freq  827500   331
[   0 ,  830  92 918] high freq  830000   332
[   0 ,  832 595 850] high freq  832500   333
[   0 ,  835  92 710] high freq  835000   334
[   0 ,  837 592 868] high freq  837500   335
[   0 ,  840  92 535] high freq  840000   336
[   0 ,  840 115 965] 时隙:17-------------------------------------------------------------------------------
[   0 ,  842 597 763] high freq  842500   337
[   0 ,  845  94 375] high freq  845000   338
[   0 ,  847 593 370] high freq  847500   339
[   0 ,  850  92 203] high freq  850000   340
[   0 ,  852 596 138] high freq  852500   341
[   0 ,  855  94 235] high freq  855000   342
[   0 ,  857 592 635] high freq  857500   343
[   0 ,  860  93 625] high freq  860000   344
[   0 ,  860 117 480] 时隙:18-------------------------------------------------------------------------------
[   0 ,  862 599 185] high freq  862500   345
[   0 ,  865  94 190] high freq  865000   346
[   0 ,  867 593 278] high freq  867500   347
[   0 ,  870  95 698] high freq  870000   348
[   0 ,  872 596 955] high freq  872500   349
[   0 ,  875  92 805] high freq  875000   350
[   0 ,  877 593  38] high freq  877500   351
[   0 ,  880  92 425] high freq  880000   352
[   0 ,  880 115 430] 时隙:19-------------------------------------------------------------------------------
[   0 ,  882 598 160] high freq  882500   353
[   0 ,  885  93 210] high freq  885000   354
[   0 ,  887 593 203] high freq  887500   355
[   0 ,  890  93 295] high freq  890000   356
[   0 ,  892 595 363] high freq  892500   357
[   0 ,  895  92 925] high freq  895000   358
[   0 ,  897 592 558] high freq  897500   359
[   0 ,  900  93  58] high freq  900000   360
[   0 ,  900 128 955] 时隙:20-------------------------------------------------------------------------------
[   0 ,  902 598 725] high freq  902500   361
[   0 ,  905  93 110] high freq  905000   362
[   0 ,  907 592 973] high freq  907500   363
[   0 ,  910  92 625] high freq  910000   364
[   0 ,  912 595 465] high freq  912500   365
[   0 ,  915  93 475] high freq  915000   366
[   0 ,  917 592 713] high freq  917500   367
[   0 ,  920  96 503] high freq  920000   368
[   0 ,  920 120 675] 时隙:21-------------------------------------------------------------------------------
[   0 ,  922 598 755] high freq  922500   369
[   0 ,  925  93 325] high freq  925000   370
[   0 ,  927 592 920] high freq  927500   371
[   0 ,  930  92 985] high freq  930000   372
[   0 ,  932 595 805] high freq  932500   373
[   0 ,  935  93 408] high freq  935000   374
[   0 ,  937 592 665] high freq  937500   375
[   0 ,  940  92 345] high freq  940000   376
[   0 ,  940 116  25] 时隙:22-------------------------------------------------------------------------------
[   0 ,  942 597 900] high freq  942500   377
[   0 ,  945  93 250] high freq  945000   378
[   0 ,  947 592 748] high freq  947500   379
[   0 ,  950  92 188] high freq  950000   380
[   0 ,  952 595 905] high freq  952500   381
[   0 ,  955  93 255] high freq  955000   382
[   0 ,  957 592 705] high freq  957500   383
[   0 ,  960  93 263] high freq  960000   384
[   0 ,  960 116 660] 时隙:23-------------------------------------------------------------------------------
[   0 ,  962 597 603] high freq  962500   385
[   0 ,  965  93 783] high freq  965000   386
[   0 ,  967 592 813] high freq  967500   387
[   0 ,  970 102 873] high freq  970000   388
[   0 ,  972 597  55] high freq  972500   389
[   0 ,  975  93 213] high freq  975000   390
[   0 ,  977 592 573] high freq  977500   391
[   0 ,  980  92 495] high freq  980000   392
[   0 ,  980 116 395] 时隙:24-------------------------------------------------------------------------------
[   0 ,  982 607 760] high freq  982500   393
[   0 ,  985  94 330] high freq  985000   394
[   0 ,  987 593 470] high freq  987500   395
[   0 ,  990  93 113] high freq  990000   396
[   0 ,  992 596 593] high freq  992500   397
[   0 ,  995  89 310] high freq  995000   398
[   0 ,  997 588 693] high freq  997500   399
[   1 ,    0 157 413] high freq  1000000   0
[   1 ,    0 183 963] 时隙: 0-------------------------------------------------------------------------------
[   1 ,    0 343 875] NODE  3 此时未收到状态调整信息
[   1 ,    2 605 645] high freq  1002500   1
[   1 ,    5  93 505] high freq  1005000   2
[   1 ,    7 593 268] high freq  1007500   3
[   1 ,   10  92 540] high freq  1010000   4
